architecture,state,faradaic_active,V_cat_HER_V_vs_RHE,V_cat_OER_V_vs_RHE,E_cat_HER_eV,E_cat_OER_eV,Delta_V_cat_V,Delta_E_cat_eV,eta_HER_V,eta_OER_V,J_sem_mA_cm2,J_OWS_mA_cm2,J_gen_mA_cm2,J_contact_mA_cm2,signed_opposite_carrier_term_mA_cm2,J_SRH_mA_cm2,E_CB_s_HER_eV,E_CB_s_OER_eV,E_CB_bulk_eV,V_bb_HER_V,V_bb_OER_V,Delta_E_CB_surface_eV,Phi_B_HER_eV,Phi_B_OER_eV,Delta_E_F_center_eV,j_HER_anodic_mA_cm2,j_OER_anodic_mA_cm2,catalyst_balance_HER_A_m2,catalyst_balance_OER_A_m2,integrated_current_balance_A_m2,BVP_rms_max,adaptive_mesh_nodes,thickness_nm,thickness_um,alpha_L,absorbed_fraction,utilization_percent,status,calculation_origin,source
AA,finite_current,True,-0.23299537357006658,1.5621961441143357,0.23299537357006658,-1.5621961441143357,1.7951915176844022,1.7951915176844022,-0.23299537357006658,0.3331961441143356,0.21374875944901559,0.21374875944901559,0.28015136489823556,0.06639919506557856,0.06639919506557856,3.4103836559065308e-06,0.9552120108495786,1.1052120108495787,0.9554278973875844,-0.00021588653800574953,0.14978411346199427,0.15000000000000002,0.722216637279512,2.6674081549639146,2.2448402876680364,-0.21374875944948216,0.21374875944946808,-4.665601238684758e-12,4.524824959162288e-12,-1.448420986556627e-13,1.2132404465657832e-08,1100,100.0,0.1,0.09999999999999999,0.09516258196404041,76.29759702461538,ok,recomputed_BVP,full
AA,finite_current,True,-0.23647472524082178,1.563588066179696,0.23647472524082178,-1.563588066179696,1.8000627914205176,1.8000627914205176,-0.23647472524082178,0.33458806617969583,0.23158032255668645,0.23158032255668645,0.34823792467298537,0.11665220931912568,0.11665220931912568,5.3927975495883395e-06,0.9552120108495786,1.1052120108495787,0.9117064340488645,0.043505576800714096,0.19350557680071412,0.15000000000000002,0.7187372856087568,2.6688000770292746,2.293664104104262,-0.231580322556441,0.2315803225514305,2.454481062841296e-12,-5.255973434259431e-11,-3.76345748185139e-12,2.8825491855499547e-08,1100,125.89254117941675,0.12589254117941676,0.12589254117941676,0.11829041083457878,66.50060379671547,ok,recomputed_BVP,full
AA,finite_current,True,-0.24111627133175964,1.5654448989872933,0.24111627133175964,-1.5654448989872933,1.806561170319053,1.806561170319053,-0.24111627133175964,0.33644489898729324,0.2577047803608151,0.2577047803608151,0.4314847523019728,0.17377280369617845,0.17377280369617845,7.168246475611505e-06,0.9552120108495786,1.1052120108495787,0.8424374350460461,0.11277457580353256,0.2627745758035326,0.15000000000000002,0.714095739517819,2.6706569098368718,2.36750901453991,-0.25770478036081423,0.2577047803608167,8.43769498715119e-15,1.5987211554602254e-14,-1.4963283596122062e-11,7.308598297501651e-08,1100,158.4893192461114,0.1584893192461114,0.15848931924611137,0.14656792095974813,59.725118671276135,ok,recomputed_BVP,full
AA,finite_current,True,-0.24744547220391072,1.5679768282634343,0.24744547220391072,-1.5679768282634343,1.815422300467345,1.815422300467345,-0.24744547220391072,0.3389768282634342,0.2981403154177732,0.2981403154177732,0.5325006169318864,0.2343511438336408,0.2343511438336408,9.157685092464549e-06,0.9552120108495786,1.1052120108495784,0.7354161954498121,0.21979581539976656,0.36979581539976636,0.1499999999999998,0.707766538645668,2.6731888391130125,2.480526679202212,-0.29814031541777297,0.2981403154138316,2.220446049250313e-15,-3.941558190945216e-11,-4.619948798794283e-11,1.938596818280056e-07,1100,199.526231496888,0.19952623149688797,0.19952623149688797,0.18088126617940983,55.98872676158967,ok,recomputed_BVP,full
AA,finite_current,True,-0.2549882711363818,1.5709941909471044,0.2549882711363818,-1.5709941909471044,1.8259824620834861,1.8259824620834861,-0.2549882711363818,0.34199419094710426,0.3546947609033931,0.3546947609033931,0.6539171998445276,0.29920739300147015,0.29920739300147015,1.5045950118218262e-05,0.9552120108495786,1.1052120108495787,0.6590840094127907,0.29612800143678797,0.446128001436788,0.15000000000000002,0.7002237397131968,2.676206201796683,2.5733752634715943,-0.35469476090339264,0.3546947609033922,4.440892098500626e-15,-8.881784197001252e-15,-1.0453869511034032e-10,2.9248025536588256e-07,1155,251.18864315095806,0.25118864315095807,0.25118864315095807,0.2221243831901551,54.24154021147076,ok,recomputed_BVP,full
AA,finite_current,True,-0.26288850464478175,1.57415448935822,0.26288850464478175,-1.57415448935822,1.8370429940030018,1.8370429940030018,-0.26288850464478175,0.3451544893582199,0.42546342705027734,0.42546342705027734,0.7981170592731219,0.37261972363791773,0.37261972363791773,3.39086047719356e-05,0.9552120108495786,1.1052120108495787,0.6461580635616946,0.30905394728788405,0.45905394728788407,0.15000000000000002,0.6923235062047969,2.6793665002077987,2.613130765375969,-0.4254634270502245,0.42546342705027795,5.284661597215745e-13,6.217248937900877e-15,-1.9845046184694196e-10,2.9605851053330064e-07,1204,316.22776601683796,0.31622776601683794,0.31622776601683794,0.2711065858899754,53.30839907591555,ok,recomputed_BVP,full
AA,finite_current,True,-0.2706219866607649,1.5772480441044872,0.2706219866607649,-1.5772480441044872,1.847870030765252,1.847870030765252,-0.2706219866607649,0.34824804410448706,0.5083948032653243,0.5083948032653243,0.9668137842011832,0.4583310756695952,0.4583310756695952,8.790530331890505e-05,0.9552120108495786,1.1052120108495787,0.6471531017801733,0.30805890906940536,0.4580589090694054,0.15000000000000002,0.6845900241888137,2.682460054954066,2.6398281546256532,-0.508394803265038,0.5083948032652441,2.8617108682738035e-12,-8.01136934569513e-13,-3.70550948106986e-10,2.983703322232632e-07,1215,398.1071705534973,0.3981071705534973,0.3981071705534973,0.3284099508721993,52.58456298131688,ok,recomputed_BVP,full
AA,finite_current,True,-0.27806686396650626,1.580226122184823,0.27806686396650626,-1.580226122184823,1.8582929861513293,1.8582929861513293,-0.27806686396650626,0.35122612218482296,0.6034663448419351,0.6034663448419351,1.1604622945850473,0.5567625360316268,0.5567625360316268,0.00023341378019811973,0.9552120108495786,1.1052120108495787,0.6512087521553748,0.30400325869420386,0.4540032586942039,0.15000000000000002,0.6771451468830724,2.6854381330344017,2.6607450510591035,-0.6034663448419342,0.6034663448418855,8.881784197001252e-15,-4.956035581926699e-13,-6.871281117877548e-10,2.9811310276750756e-07,1250,501.18723362727246,0.5011872336272725,0.5011872336272724,0.39418900659199824,52.00223632063115,ok,recomputed_BVP,full
AA,finite_current,True,-0.28511612278972853,1.583045925191018,0.28511612278972853,-1.583045925191018,1.8681620479807466,1.8681620479807466,-0.28511612278972853,0.35404592519101796,0.7098198330305678,0.7098198330305678,1.3775143097348306,0.6671041221280563,0.6671041221280563,0.0005903547025400131,0.9552120108495786,1.1052120108495787,0.6555451014639154,0.2996669093856632,0.4496669093856632,0.15000000000000002,0.6700958880598501,2.6882579360405967,2.6781574681921505,-0.7098198330305708,0.7098198330305624,-2.930988785010413e-14,-5.5067062021407764e-14,-1.2633361535716037e-09,2.9997905449564734e-07,1446,630.9573444801932,0.6309573444801932,0.6309573444801931,0.4679178288294142,51.52903516241563,ok,recomputed_BVP,full
AA,finite_current,True,-0.29165494670384257,1.5856615321331409,0.29165494670384257,-1.5856615321331409,1.8773164788369834,1.8773164788369834,-0.29165494670384257,0.3566615321331408,0.8251602586593016,0.8251602586593016,1.6136095520727871,0.7870563157057451,0.7870563157057451,0.001392977937505158,0.9552120108495786,1.1052120108495784,0.6595955325381899,0.2956164783113887,0.4456164783113885,0.1499999999999998,0.663557064145736,2.690873542982719,2.6931824338960904,-0.8251602586593016,0.8251602586593039,0.0,2.3092638912203256e-14,-2.297648186294632e-09,2.986727712158546e-07,1564,794.3282347242817,0.7943282347242817,0.7943282347242817,0.5481153065695885,51.13754176772995,ok,recomputed_BVP,full
AA,finite_current,True,-0.2975618629308486,1.5880243582416258,0.2975618629308486,-1.5880243582416258,1.8855862211724743,1.8855862211724743,-0.2975618629308486,0.3590243582416257,0.9453855415407645,0.9453855415407645,1.8609145914407157,0.9124574254594975,0.9124574254594975,0.003071624852798249,0.9552120108495786,1.1052120108495787,0.6632394644359723,0.29197254641360637,0.4419725464136064,0.15000000000000002,0.65765014791873,2.6932363690912045,2.7064336362282244,-0.9453855415407654,0.9453855415407657,-8.881784197001252e-15,1.2434497875801753e-14,-4.123445026399386e-09,2.9891780125305135e-07,1617,1000.0,1.0,1.0,0.6321205588285577,50.8021994071662,ok,recomputed_BVP,full
AA,finite_current,True,-0.3027136510893139,1.5900851187170482,0.3027136510893139,-1.5900851187170482,1.8927987698063622,1.8927987698063622,-0.3027136510893139,0.36108511871704807,1.0644566216558666,1.0644566216558666,2.1079699487322814,1.037139557947103,1.037139557947103,0.006373769857704159,0.9552120108495786,1.1052120108495787,0.6664072668459559,0.28880474400362277,0.4388047440036228,0.15000000000000002,0.6524983597602647,2.695297129566627,2.718259915469863,-1.0644566216558662,1.0644566216558682,3.552713678800501e-15,1.5987211554602254e-14,-7.283923131318204e-09,2.986439778359761e-07,1656,1258.9254117941675,1.2589254117941675,1.2589254117941673,0.7160409983968387,50.496764543347666,ok,recomputed_BVP,full
AA,finite_current,True,-0.30699445961598554,1.5917974755074797,0.30699445961598554,-1.5917974755074797,1.8987919351234652,1.8987919351234652,-0.30699445961598554,0.36279747550747965,1.1747268295108255,1.1747268295108255,2.340508459254885,1.15325275915183,1.15325275915183,0.01252887185579837,0.9552120108495786,1.1052120108495784,0.669035778718202,0.28617623213137666,0.43617623213137646,0.1499999999999998,0.648217551233593,2.697009486357058,2.7288648949942447,-1.1747268295108357,1.1747268295037674,-1.0302869668521453e-13,-7.057998629989015e-11,-1.2635687690609743e-08,2.9984780410149885e-07,1799,1584.893192461114,1.584893192461114,1.5848931924611138,0.7950303157447712,50.19109522401841,ok,recomputed_BVP,full
AA,finite_current,True,-0.3103096279677871,1.5931235663662784,0.3103096279677871,-1.5931235663662784,1.9034331943340654,1.9034331943340654,-0.3103096279677871,0.3641235663662783,1.2679121371225983,1.2679121371225983,2.5436147600173484,1.252246996145247,1.252246996145247,0.02345562889824363,0.9552120108495786,1.1052120108495787,0.6710734391886518,0.2841385716609268,0.43413857166092684,0.15000000000000002,0.6449023828817915,2.698335577215857,2.7383744462981587,-1.2679121371225985,1.2679121371225537,-1.7763568394002505e-15,-4.4586556668946287e-13,-2.1487404439080038e-08,2.974889151337568e-07,2038,1995.262314968881,1.9952623149688808,1.9952623149688808,0.8640220195715287,49.84686191685531,ok,recomputed_BVP,full
AA,finite_current,True,-0.3126024939430904,1.5940407279305278,0.3126024939430904,-1.5940407279305278,1.9066432218736182,1.9066432218736182,-0.3126024939430904,0.36504072793052766,1.3366515251480409,1.3366515251480409,2.7051269533707893,1.3264661677287317,1.3264661677287317,0.04200926407275869,0.9552120108495786,1.1052120108495787,0.6724903229604688,0.2827216878891098,0.4327216878891098,0.15000000000000002,0.6426095169064883,2.6992527387801064,2.7468786871241573,-1.3366515251480329,1.336651525148047,7.993605777301127e-14,6.039613253960852e-14,-3.578741930576612e-08,2.9723566090446947e-07,2080,2511.8864315095825,2.5118864315095824,2.5118864315095824,0.9188849232156779,49.411785405578605,ok,recomputed_BVP,full
AA,finite_current,True,-0.3138678416173918,1.5945468750147465,0.3138678416173918,-1.5945468750147465,1.9084147166321381,1.9084147166321381,-0.3138678416173918,0.36554687501474636,1.376169332046412,1.376169332046412,2.8193095511752597,1.3708619393021033,1.3708619393021033,0.0722782856664044,0.9552120108495786,1.1052120108495787,0.6732862580520326,0.28192575279754606,0.4319257527975461,0.15000000000000002,0.6413441692321868,2.699758885864325,2.7544576917711376,-1.3761693320463086,1.3761693320758683,1.0320633236915455e-12,2.9456437289354653e-10,-5.839659666939667e-08,2.9974243508279197e-07,2099,3162.2776601683795,3.1622776601683795,3.162277660168379,0.957670780376795,48.812282123214914,ok,recomputed_BVP,full
