J_OWS_mA_cm2,status,calculation_origin,mean_V_bb_0_V,Delta_V_bb_0_V,architecture,state,faradaic_active,V_cat_HER_V_vs_RHE,V_cat_OER_V_vs_RHE,E_cat_HER_eV,E_cat_OER_eV,Delta_V_cat_V,Delta_E_cat_eV,eta_HER_V,eta_OER_V,J_sem_mA_cm2,J_gen_mA_cm2,J_contact_mA_cm2,signed_opposite_carrier_term_mA_cm2,J_SRH_mA_cm2,E_CB_s_HER_eV,E_CB_s_OER_eV,E_CB_bulk_eV,V_bb_HER_V,V_bb_OER_V,Delta_E_CB_surface_eV,Phi_B_HER_eV,Phi_B_OER_eV,Delta_E_F_center_eV,j_HER_anodic_mA_cm2,j_OER_anodic_mA_cm2,catalyst_balance_HER_A_m2,catalyst_balance_OER_A_m2,integrated_current_balance_A_m2,BVP_rms_max,adaptive_mesh_nodes,initialization,utilization_percent
0.9067942406165347,ok,recomputed_BVP,1.0,0.1,AA,finite_current,True,-0.2957518859585726,1.5873003501239757,0.2957518859585726,-1.5873003501239757,1.8830522360825483,1.8830522360825483,-0.2957518859585726,0.35830035012397565,0.9067942406165347,1.8609145914407157,0.9509665329867845,0.9509665329867845,0.0031538181229291092,1.0552120108495786,1.1552120108495787,0.7627928087862611,0.2924192020633175,0.3924192020633176,0.10000000000000009,0.759460124891006,2.7425123609735547,2.7069049612114284,-0.9067942406165338,0.9067942406165516,8.881784197001252e-15,1.687538997430238e-13,-2.855325427486566e-09,2.994571483440275e-07,1610.0,fresh_parameter_continuation,48.7284179933533
0.9453856142961223,ok,recomputed_BVP,1.0,0.15,AA,finite_current,True,-0.29756186627303105,1.5880243595785302,0.29756186627303105,-1.5880243595785302,1.8855862258515612,1.8855862258515612,-0.29756186627303105,0.3590243595785301,0.9453856142961223,1.8609145914407157,0.9124572586178148,0.9124572586178148,0.0030717189389301196,1.0302120108495787,1.1802120108495786,0.7382385042986576,0.29197350655092114,0.44197350655092105,0.1499999999999999,0.7326501445765476,2.7682363704281086,2.7064336166940426,-0.945385614296123,0.9453856142961277,-7.105427357601002e-15,5.3290705182007514e-14,-4.121515087551764e-09,2.996955707585765e-07,1621.0,fresh_parameter_continuation,50.80220331682213
0.9564366670217057,ok,recomputed_BVP,1.0,0.2,AA,finite_current,True,-0.2980665773313564,1.5882262486944014,0.2980665773313564,-1.5882262486944014,1.8862928260257579,1.8862928260257579,-0.2980665773313564,0.35922624869440134,0.9564366670217057,1.8609145914407157,0.9014832980285876,0.9014832980285876,0.002994626826435088,1.0052120108495786,1.2052120108495785,0.713303843914226,0.2919081669353526,0.49190816693535255,0.19999999999999996,0.7071454335182221,2.79343825954398,2.7059739475718874,-0.9564366670236456,0.9564366670217078,-1.9399593043090135e-11,2.1316282072803006e-14,-4.360125489821787e-09,2.983232647918654e-07,1629.0,fresh_parameter_continuation,51.39605393073063
0.9690732633695582,ok,recomputed_BVP,1.0,0.3,AA,finite_current,True,-0.298636603683455,1.588454264463841,0.298636603683455,-1.588454264463841,1.887090868147296,1.887090868147296,-0.298636603683455,0.359454264463841,0.9690732633695582,1.8609145914407157,0.8889861090047676,0.8889861090047676,0.0028552195122879503,0.9552120108495785,1.2552120108495786,0.6633172465072579,0.29189476434232065,0.5918947643423207,0.30000000000000004,0.6565754071661235,2.84366627531342,2.705098561652531,-0.9690732633693834,0.9690732633695598,1.7479351299698465e-12,1.5987211554602254e-14,-4.458979369764693e-09,2.9829907806134213e-07,1637.0,fresh_parameter_continuation,52.075106930044754
0.0,analytic_symmetry,symmetry_assignment_no_BVP,1.15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7043696028821562,ok,recomputed_BVP,1.15,0.05,AA,finite_current,True,-0.28478138118799073,1.5829120242276868,0.28478138118799073,-1.5829120242276868,1.8676934054156775,1.8676934054156775,-0.28478138118799073,0.35391202422768675,0.7043696028821562,1.8609145914407157,1.1532923078290271,1.1532923078290271,0.0032526802368720758,1.2302120108495784,1.2802120108495783,0.9348786623036229,0.2953333485459555,0.3453333485459553,0.04999999999999982,0.9454306296615878,2.863124035077265,2.7073474004327647,-0.7043696028826083,0.7043696028825919,-4.519939977853937e-12,4.356515148629114e-12,4.9266038887330055e-09,2.988529345612687e-07,1604.0,fresh_parameter_continuation,37.850721689319165
0.9067800970583922,ok,recomputed_BVP,1.15,0.1,AA,finite_current,True,-0.2957512085869636,1.5873000791686973,0.2957512085869636,-1.5873000791686973,1.8830512877556609,1.8830512877556609,-0.2957512085869636,0.3583000791686972,0.9067800970583922,1.8609145914407157,0.9509673388487944,0.9509673388487944,0.0031671558083753936,1.2052120108495785,1.3052120108495786,0.9127926050647553,0.29241940578482317,0.39241940578482326,0.10000000000000009,0.9094608022626149,2.892512090018276,2.7069050344189898,-0.90678009705842,0.906780097058431,-2.7711166694643907e-13,3.872457909892546e-13,-2.7484621800688558e-09,2.998093535647259e-07,1605.0,fresh_parameter_continuation,48.72765796072163
0.9453770999743408,ok,recomputed_BVP,1.15,0.15,AA,finite_current,True,-0.297561475146589,1.5880242031242935,0.297561475146589,-1.5880242031242935,1.8855856782708824,1.8855856782708824,-0.297561475146589,0.3590242031242934,0.9453770999743408,1.8609145914407157,0.9124578758971633,0.9124578758971633,0.0030796159811079774,1.1802120108495786,1.3302120108495787,0.8882383405169739,0.2919736703326047,0.4419736703326048,0.15000000000000013,0.8826505357029897,2.9182362139738722,2.7064336599420025,-0.9453770999743523,0.9453770999743515,-1.1368683772161603e-13,1.0658141036401503e-13,-4.118964083005272e-09,2.989361436340447e-07,1614.0,fresh_parameter_continuation,50.8017457825634
0.9564315078030912,ok,recomputed_BVP,1.15,0.2,AA,finite_current,True,-0.29806634306864505,1.5882261549871528,0.29806634306864505,-1.5882261549871528,1.8862924980557978,1.8862924980557978,-0.29806634306864505,0.3592261549871527,0.9564315078030912,1.8609145914407157,0.9014840170432527,0.9014840170432527,0.0029990670302615656,1.1552120108495785,1.3552120108495784,0.8633036353201117,0.2919083755294668,0.49190837552946676,0.19999999999999996,0.8571456677809335,2.9434381658367315,2.705973996098388,-0.9564315078050335,0.9564315078031047,-1.942268568200234e-11,1.3500311979441904e-13,-4.3588961919083236e-09,2.9878622270739803e-07,1620.0,fresh_parameter_continuation,51.39577668970956
0.969068970479903,ok,recomputed_BVP,1.15,0.3,AA,finite_current,True,-0.2986364112996547,1.588454187508569,0.2986364112996547,-1.588454187508569,1.8870905988082236,1.8870905988082236,-0.2986364112996547,0.35945418750856883,0.969068970479903,1.8609145914407157,0.8889891198003752,0.8889891198003752,0.0028565016063208143,1.1052120108495784,1.4052120108495783,0.8133161752754177,0.29189583557416077,0.5918958355741606,0.2999999999999998,0.8065755995499237,2.993666198358147,2.70509876575515,-0.9690689704797302,0.9690689704799045,1.7283952047364437e-12,1.4210854715202004e-14,-4.458833396253636e-09,2.983027279635475e-07,1659.0,fresh_parameter_continuation,52.07487624295815
