x_um,E_CB_eV,E_VB_eV,E_Fn_eV,E_Fp_eV,n_cm3,p_cm3,Jn_mA_cm2,Jp_mA_cm2,Jtotal_mA_cm2
0.27555555555555555,0.10529350822061662,-3.0947064917793834,1.1102230246251565e-16,4.440892098500626e-16,9.968330056872124e+17,6.307490016380819e-33,-1.558969787566535e-28,6.359329177616893e-63,-1.558969787566535e-28
0.2761111111111111,0.10529134484500063,-3.0947086551549994,1.5265566588595902e-16,4.440892098500626e-16,9.969169449057061e+17,6.306958933239582e-33,-1.558969787566535e-28,6.357916894867413e-63,-1.558969787566535e-28
0.27666666666666667,0.10528923886817637,-3.094710761131824,1.942890293094024e-16,-0.0,9.969986638339514e+17,6.306441983775977e-33,-1.558969787566535e-28,6.359224767852309e-63,-1.558969787566535e-28
0.27722222222222215,0.10528718876874177,-3.0947128112312585,1.5265566588595902e-16,-0.0,9.970782209674054e+17,6.305938791111644e-33,-1.558969787566535e-28,6.357736511871223e-63,-1.558969787566535e-28
0.27777777777777773,0.10528519306554174,-3.0947148069344586,1.249000902703301e-16,-0.0,9.971556732726708e+17,6.3054489884567e-33,-1.558969787566535e-28,6.356644725438631e-63,-1.558969787566535e-28
0.2783333333333333,0.10528325031660735,-3.0947167496833927,1.6653345369377348e-16,4.440892098500626e-16,9.972310762268146e+17,6.30497221883701e-33,-1.558969787566535e-28,6.358261987828121e-63,-1.558969787566535e-28
0.2788888888888889,0.1052813591181242,-3.094718640881876,1.3877787807814457e-16,4.440892098500626e-16,9.973044838556531e+17,6.304508134830552e-33,-1.558969787566535e-28,6.359321273894077e-63,-1.558969787566535e-28
0.27944444444444444,0.10527951810342673,-3.0947204818965734,1.249000902703301e-16,-0.0,9.973759487711512e+17,6.304056398309716e-33,-1.558969787566535e-28,6.356199574198873e-63,-1.558969787566535e-28
0.28,0.10527772594201734,-3.094722274057983,1.5265566588595902e-16,4.440892098500626e-16,9.97445522207914e+17,6.303616680190311e-33,-1.558969787566535e-28,6.356167646990917e-63,-1.558969787566535e-28
0.28055555555555556,0.10527598133861249,-3.094724018661388,1.6653345369377348e-16,-0.0,9.975132540587315e+17,6.303188660188791e-33,-1.558969787566535e-28,6.358160783841173e-63,-1.558969787566535e-28
0.2811111111111111,0.1052742830322142,-3.094725716967786,2.498001805406602e-16,4.440892098500626e-16,9.975791929092227e+17,6.302772026584475e-33,-1.558969787566535e-28,6.359130578440732e-63,-1.558969787566535e-28
0.2816666666666667,0.10527262979520496,-3.094727370204795,1.6653345369377348e-16,4.440892098500626e-16,9.976433860716215e+17,6.302366475990069e-33,-1.558969787566535e-28,6.357979743499553e-63,-1.558969787566535e-28
0.28222222222222215,0.10527102043246872,-3.0947289795675315,1.6653345369377348e-16,4.440892098500626e-16,9.977058796176724e+17,6.301971713126829e-33,-1.558969787566535e-28,6.355707238887033e-63,-1.558969787566535e-28
0.28277777777777774,0.10526945378053254,-3.0947305462194676,1.6653345369377348e-16,4.440892098500626e-16,9.977667184107264e+17,6.301587450607615e-33,-1.558969787566535e-28,6.353048655752397e-63,-1.558969787566535e-28
0.2833333333333333,0.10526792870673057,-3.0947320712932695,1.6653345369377348e-16,4.440892098500626e-16,9.978259461370839e+17,6.30121340872322e-33,-1.558969787566535e-28,6.353183473735502e-63,-1.558969787566535e-28
0.2838888888888889,0.10526644410839042,-3.09473355589161,1.942890293094024e-16,-0.0,9.978836053365128e+17,6.300849315237233e-33,-1.558969787566535e-28,6.353827839768885e-63,-1.558969787566535e-28
0.28444444444444444,0.10526499891204139,-3.0947350010879586,1.3877787807814457e-16,4.440892098500626e-16,9.979397374319677e+17,6.300494905184149e-33,-1.558969787566535e-28,6.353166051620019e-63,-1.558969787566535e-28
0.285,0.10526359207264341,-3.094736407927357,1.6653345369377348e-16,-0.0,9.979943827585847e+17,6.300149920675351e-33,-1.558969787566535e-28,6.35370504681495e-63,-1.558969787566535e-28
0.28555555555555556,0.1052622225728373,-3.094737777427163,1.249000902703301e-16,4.440892098500626e-16,9.980475805918616e+17,6.299814110708287e-33,-1.558969787566535e-28,6.351272301760364e-63,-1.558969787566535e-28
0.2861111111111111,0.10526088942221307,-3.094739110577787,1.5265566588595902e-16,8.881784197001252e-16,9.980993691752311e+17,6.299487230982318e-33,-1.558969787566535e-28,6.35294132239278e-63,-1.558969787566535e-28
0.2866666666666667,0.10525959165659682,-3.0947404083434034,1.5265566588595902e-16,4.440892098500626e-16,9.981497857469181e+17,6.299169043718191e-33,-1.558969787566535e-28,6.353698331420993e-63,-1.558969787566535e-28
0.28722222222222216,0.1052583283373576,-3.094741671662643,1.6653345369377348e-16,-0.0,9.981988665660977e+17,6.298859317483149e-33,-1.558969787566535e-28,6.354818890788967e-63,-1.558969787566535e-28
0.28777777777777774,0.10525709855073234,-3.094742901449268,1.1102230246251565e-16,4.440892098500626e-16,9.98246646938368e+17,6.298557827020799e-33,-1.558969787566535e-28,6.354826756901801e-63,-1.558969787566535e-28
0.28833333333333333,0.10525590140716978,-3.0947440985928303,1.3877787807814457e-16,4.440892098500626e-16,9.982931612405541e+17,6.298264353085983e-33,-1.558969787566535e-28,6.3548624588939e-63,-1.558969787566535e-28
