thickness_nm,thickness_um,alpha_L,absorbed_fraction,J_OWS_mA_cm2,U_H_V_vs_RHE,U_O_V_vs_RHE,contact_separation_V,eta_H_V,eta_O_V,Jgen_mA_cm2,utilization_percent,SRH_mA_cm2,counterflow_mA_cm2,band_bending_H_V,band_bending_O_V,QFL_center_split_V,BVP_residual,current_budget_residual_A_m2,status
1000.0,1.0,1.0,0.6321205588285577,0.9453855415407645,-0.29756186293097203,1.5880243582416753,1.8855862211726473,-0.29756186293097203,0.3590243582416752,1.8609145914407157,50.8021994071662,0.003071624852798249,0.9124574254594975,0.29197254641360637,0.4419725464136064,2.7064336362282244,2.9891780125305135e-07,-4.123446473158765e-09,ok
1258.9254117941673,1.2589254117941673,1.2589254117941673,0.7160409983968387,1.0644566216558666,-0.30271365108910064,1.590085118716963,1.8927987698060635,-0.30271365108910064,0.3610851187169628,2.1079699487322814,50.496764543347666,0.006373769857704159,1.037139557947103,0.28880474400362277,0.4388047440036228,2.718259915469863,2.986439778359761e-07,-7.283924574608136e-09,ok
1584.8931924611138,1.5848931924611138,1.5848931924611138,0.7950303157447712,1.1747268295108255,-0.306994459615099,1.5917974755071251,1.8987919351222242,-0.306994459615099,0.36279747550712504,2.340508459254885,50.19109522401841,0.01252887185579837,1.15325275915183,0.28617623213137666,0.43617623213137646,2.7288648949942447,2.998478046071911e-07,-1.2635686275075386e-08,ok
1995.262314968881,1.9952623149688808,1.9952623149688808,0.8640220195715287,1.2679121371225983,-0.31030962796788003,1.5931235663663157,1.9034331943341958,-0.31030962796788003,0.3641235663663156,2.5436147600173484,49.84686191685531,0.02345562889824363,1.252246996145247,0.2841385716609268,0.43413857166092684,2.7383744462981587,2.974889151337693e-07,-2.148740385621295e-08,ok
2511.886431509582,2.5118864315095824,2.5118864315095824,0.9188849232156779,1.3366515251480409,-0.3126024939438677,1.5940407279308386,1.9066432218747063,-0.3126024939438677,0.3650407279308385,2.7051269533707893,49.411785405578605,0.04200926407275869,1.3264661677287317,0.2827216878891098,0.4327216878891098,2.7468786871241573,2.9723566090446947e-07,-3.578742102661181e-08,ok
3162.277660168379,3.162277660168379,3.162277660168379,0.957670780376795,1.376169332046412,-0.31386784161832926,1.5945468750151215,1.9084147166334509,-0.31386784161832926,0.3655468750151214,2.8193095511752597,48.812282123214914,0.0722782856664044,1.3708619393021033,0.28192575279754595,0.43192575279754597,2.7544576917711376,2.99742413267801e-07,-5.839659600326286e-08,ok
3981.0717055349733,3.981071705534973,3.981071705534973,0.9813343754384811,1.3851291073381664,-0.31414967527426424,1.594659610228177,1.9088092855024412,-0.31414967527426424,0.36565961022817683,2.8889733656505294,47.94537477593767,0.11994455536419961,1.3838997122995225,0.28172236736929923,0.43172236736929925,2.7611897629928057,2.9952065128143173e-07,-9.351359331333242e-08,ok
5011.872336272724,5.011872336272724,5.011872336272724,0.993341575182368,1.364872886639092,-0.31350988034060445,1.5944036882617483,1.9079135686023527,-0.31350988034060445,0.3654036882617482,2.9243216435916084,46.67314519352171,0.1926230643111597,1.3668257073739623,0.28207299041871137,0.4320729904187114,2.7671372697450067,2.997510104276368e-07,-1.4732605890799277e-07,ok
6309.573444801936,6.309573444801935,6.309573444801935,0.9981811911038428,1.3172881782241066,-0.3119687638222968,1.59378723177364,1.9057559955959367,-0.3119687638222968,0.3647872317736398,2.9385691028135197,44.8275378980496,0.2997580564981709,1.3215228909835377,0.2829640139599996,0.4329640139599996,2.7723120899702596,2.9997922945382567e-07,-2.2892295525878126e-07,ok
7943.28234724282,7.94328234724282,7.94328234724282,0.9996449607982933,1.2430337400231102,-0.3094490185524645,1.5927793166792568,1.9022283352317213,-0.3094490185524645,0.36377931667925667,2.9428783288699534,42.2387065013465,0.4511440034626012,1.2487006205408617,0.28443981099674354,0.43443981099674356,2.7766401809605203,2.99007626568964e-07,-3.515661965991512e-07,ok
10000.0,10.0,10.0,0.9999546000702375,1.1421629305933236,-0.3057735998304076,1.5913091224338651,1.8970827222642728,-0.3057735998304076,0.36230912243386504,2.943789883210651,38.7990643322553,0.6531349299046552,1.1484920762215174,0.2866038932079801,0.4366038932079801,2.7799562159724367,2.9999071512125264e-07,-5.350884517696386e-07,ok
