x_um,U_CB_V_vs_RHE,U_VB_V_vs_RHE,U_Fn_V_vs_RHE,U_Fp_V_vs_RHE,n_cm3,p_cm3,Jn_mA_cm2,Jp_mA_cm2,Jtotal_mA_cm2
0.5455555555555555,-0.04676396685672696,3.153236033143273,0.05844711586296998,2.7656878244703904,1.0000361250866077e+18,36333189683875.61,-0.13406991930358797,0.08407257798862185,-0.04999734131496614
0.546111111111111,-0.04676396715436132,3.153236032845639,0.058447115872303126,2.765679750447797,1.000036113138466e+18,36321774010380.43,-0.13510052735733613,0.08510318604237,-0.04999734131496614
0.5466666666666666,-0.04676396745587974,3.1532360325441204,0.058447115881707784,2.7656715754676746,1.00003610103636e+18,36310219249890.48,-0.13613113643330704,0.08613379511834092,-0.049997341314966116
0.5472222222222223,-0.046763967761292435,3.153236032238708,0.05844711589118386,2.7656632994343995,1.0000360887798975e+18,36298525402356.22,-0.1371617465438802,0.08716440522891403,-0.04999734131496616
0.5477777777777778,-0.04676396807060984,3.1532360319293904,0.05844711590073144,2.765654922250983,1.0000360763686678e+18,36286692467576.2,-0.13819235770143432,0.08819501638646819,-0.04999734131496612
0.5483333333333333,-0.046763968383842724,3.1532360316161574,0.058447115910350525,2.765646443819236,1.0000360638022529e+18,36274720445426.19,-0.13922296991834898,0.08922562860338286,-0.04999734131496614
0.5488888888888889,-0.04676396870100219,3.1532360312989978,0.05844711592004104,2.765637864039741,1.0000360510802228e+18,36262609335832.445,-0.14025358320700343,0.09025624189203728,-0.04999734131496615
0.5494444444444444,-0.046763969022099616,3.1532360309779004,0.05844711592980302,2.7656291828117157,1.0000360382021335e+18,36250359138578.16,-0.14128419757977692,0.09128685626481077,-0.04999734131496616
0.55,-0.04676396934714666,3.1532360306528533,0.058447115939636446,2.765620400033195,1.0000360251675319e+18,36237969853572.055,-0.14231481304904897,0.09231747173408282,-0.04999734131496616
0.5505555555555556,-0.04676396967615537,3.153236030323845,0.05844711594954133,2.7656115156009244,1.0000360119759482e+18,36225441480698.49,-0.14334542962719848,0.09334808831223235,-0.04999734131496612
