status,mean_bending_V,asymmetry_V,band_bending_H_input_V,band_bending_O_input_V,k_m_s,mu_n_cm2_Vs,mu_p_cm2_Vs,initial_Jsem_mA_cm2,initial_counterflow_mA_cm2,initial_QFL_split_V,initial_BVP_residual,J_OWS_mA_cm2,Jgen_mA_cm2,utilization_percent,counterflow_mA_cm2,SRH_mA_cm2,MIEC_separation_V,U_H_V,U_O_V,QFL_split_V,eta_H_abs_V,eta_O_V,final_BVP_residual,current_budget_residual_mA_cm2,Jp_H_mA_cm2,Jn_O_mA_cm2
ok,0.925,0.1,0.875,0.975,10.0,5.0,0.1,0.9067944357337684,0.9509665057600184,2.7069049606258697,1.4939384832180182e-06,0.906793917733554,1.860914591440716,48.72840064258491,0.9509670128017448,0.0031536611945666,1.883052214433344,-0.2957518704949629,1.5873003439383804,2.706904968102547,0.2957518704949629,0.3583003439383803,2.99457657223397e-07,-2.8915003724705457e-10,-0.9137789629324162,-0.0371880498693287
ok,0.925,0.15,0.8500000000000001,1.0,10.0,5.0,0.1,0.9453857293834034,0.9124572473764476,2.706433615461722,1.4927114586749342e-06,0.9453855415407644,1.860914591440716,50.8021994071662,0.9124574254594976,0.0030716248527982,1.8855862211726475,-0.297561862930972,1.588024358241675,2.7064336362282244,0.297561862930972,0.3590243582416752,2.9891780125305135e-07,-4.1234464731587644e-10,-0.907034039947969,-0.0054233855115284
ok,0.925,0.2,0.8250000000000001,1.025,10.0,5.0,0.1,0.9564367189037222,0.9014832976472228,2.705973944456093,1.492997115892939e-06,0.956436738319788,1.860914591440716,51.39605776207693,0.901483265769523,0.0029945877875124,1.8862928305582924,-0.2980665805688599,1.5882262499894326,2.705973999500148,0.2980665805688599,0.3592262499894325,2.9831753647596094e-07,-4.3610786093495324e-10,-0.9006909000018292,-0.0007923657676937
ok,0.925,0.3,0.775,1.075,10.0,5.0,0.1,0.9690732288080104,0.888986155946828,2.705098540314461,1.4930620490084166e-06,0.969074193957457,1.860914591440716,52.07515693706297,0.888985127414197,0.002855270515594,1.887090926532856,-0.2986366453871551,1.588454281145701,2.705098923313048,0.2986366453871551,0.3594542811457009,2.982633989342462e-07,-4.4653205577560576e-10,-0.8889542736527106,-3.085376148625757e-05
no_forward_seed,1.0,0.0,1.0,1.0,10.0,5.0,0.1,-5.329070518200751e-16,1.8576402263040244,2.707566669456909,8.750729626402071e-09,0.0,,,,,,,,,,,,,,
ok,1.0,0.05,0.975,1.025,10.0,5.0,0.1,0.7043882470293763,1.1532926996946593,2.7073472681394204,1.4781228239245608e-06,0.7043880438525247,1.860914591440716,37.85171265206692,1.1532927261903154,0.0032338212614296,1.867694997183754,-0.2847825181546556,1.5829124790290985,2.707347268595332,0.2847825181546556,0.3539124790290984,2.988521261582081e-07,1.3644605445506386e-10,-0.9210292298964158,-0.2322634962938997
ok,1.0,0.1,0.95,1.05,10.0,5.0,0.1,0.9067944357337682,0.9509665057600186,2.7069049606258693,1.4939384832180182e-06,0.9067942406165348,1.860914591440716,48.7284179933533,0.9509665329867844,0.0031538181229291,1.8830522360824584,-0.2957518859585085,1.58730035012395,2.7069049612114284,0.2957518859585085,0.3583003501239499,2.994571483440275e-07,-2.85532486543616e-10,-0.9137789748106068,-0.0371875581761776
ok,1.0,0.15,0.925,1.075,10.0,5.0,0.1,0.9453857293834032,0.9124572473764478,2.7064336154617217,1.4927114586749342e-06,0.9453856142961224,1.860914591440716,50.80220331682213,0.9124572586178148,0.0030717189389301,1.8855862258517333,-0.2975618662731542,1.5880243595785797,2.7064336166940426,0.2975618662731542,0.3590243595785793,2.996955711021057e-07,-4.1215137969174976e-10,-0.9070340750337686,-0.0054231835840461
ok,1.0,0.2,0.9,1.1,10.0,5.0,0.1,0.9564367189037222,0.9014832976472228,2.705973944456093,1.492997115892939e-06,0.9564366670217056,1.860914591440716,51.39605393073063,0.9014832980285876,0.002994626826435,1.88629282602591,-0.2980665773314651,1.588226248694445,2.705973947571888,0.2980665773314651,0.3592262486944448,2.983232647918654e-07,-4.360124705726776e-10,-0.9006910103047273,-0.0007922877238601
ok,1.0,0.3,0.85,1.15,10.0,5.0,0.1,0.9690732288080104,0.888986155946828,2.705098540314461,1.4930620502516765e-06,0.9690732633695582,1.860914591440716,52.075106930044754,0.8889861090047676,0.0028552195122879,1.8870908681472272,-0.2986366036834058,1.588454264463821,2.705098561652531,0.2986366036834058,0.3594542644638212,2.98299078095988e-07,-4.4589807401962387e-10,-0.8889552671894009,-3.084181536673441e-05
no_forward_seed,1.15,0.0,1.15,1.15,10.0,5.0,0.1,0.0,1.8576402263043503,2.707566669455109,4.743106365841533e-09,0.0,,,,,,,,,,,,,,
